Restaurant_Name,LocalityCity
Testy Roll House,"Balewadi, Pune, India"
Hyderabad Dum Biryani,"Hinjawadi, Pune, India"
Aditi Hotel,"Hinjawadi, Pune, India"
Shraddha Food Corner,"Hinjawadi, Pune, India"
Indori Sarafa,"Hinjawadi, Pune, India"
Tokyo Bakery,"Baner, Pune, India"
Signature Family Resto & Bar,"Baner, Pune, India"
Le Bano,"Wakad, Pune, India"
Tapkir Misal House,"Pashan, Pune, India"
Merlin's Bar - The Orchid Hotel,"Balewadi, Pune, India"
Yash's Kitchen,"Hinjawadi, Pune, India"
Chettinad Box,"Aundh, Pune, India"
Ranjai Garden Family Restaurant,"Wakad, Pune, India"
The Puneri Burger,"Wakad, Pune, India"
I.T House Food,"Baner, Pune, India"
Harron'z Kitchen,"Aundh, Pune, India"
Parathawali Gali,"Baner, Pune, India"
3 Monkeys Cafe,"Wakad, Pune, India"
Biryani Point,"Hinjawadi, Pune, India"
Chai Ke Diwane,"Aundh, Pune, India"
Kebab And Company,"Baner, Pune, India"
Salt 1,"Hinjawadi, Pune, India"
Lucknowi Laziz,"Sus, Pune, India"
Maha Khavaiyye,"Wakad, Pune, India"
Baker's Basket,"Aundh, Pune, India"
Talk About Multi Cuisine Restaurant & Bar,"Hinjawadi, Pune, India"
Namma Kitchen,"Baner, Pune, India"
Burger Story,"Wakad, Pune, India"
Avadhoot Restaurant,"Wakad, Pune, India"
Ahare Bahare - Authentic Bengali Cuisine,"Wakad, Pune, India"
The Hidden Kitchen,"Hinjawadi, Pune, India"
Masala Wok,"Wakad, Pune, India"
Frangipani - Oxford Golf Resort,"Lavale, Pune, India"
#Selfieccino,"Aundh, Pune, India"
New Royal Chinese,"Aundh, Pune, India"
Spice It - Hotel Ibis,"Hinjawadi, Pune, India"
Zakkas,"Hinjawadi, Pune, India"
Cabaret,"Baner, Pune, India"
Cafe Bay Leaf - Holiday Inn Pune Hinjawadi,"Hinjawadi, Pune, India"
Shiv Sagar,"Aundh, Pune, India"
Mogambo Pav Bhaji And Juice,"Hinjawadi, Pune, India"
Shanmukha,"Hinjawadi, Pune, India"
Gabroo Da Dhaba,"Baner, Pune, India"
Lehza Veg Divine,"Wakad, Pune, India"
Yaron Da Adda,"Wakad, Pune, India"
Kulhad,"Wakad, Pune, India"
Beach Town Cafe,"Pashan, Pune, India"
Vitthal Restaurant,"Aundh, Pune, India"
Cafe Brava,"Aundh, Pune, India"
Hotel Sanman,"Baner, Pune, India"
Mirchiram Veg- Non Veg Restaurant,"Balewadi, Pune, India"
Gappa Goshti,"Wakad, Pune, India"
Tha Arya Kitchen,"Aundh, Pune, India"
Mr. Chopsticks,"Baner, Pune, India"
Chilled Affair,"Aundh, Pune, India"
Pot De Fusion,"Hinjawadi, Pune, India"
Khalsa Veg,"Baner, Pune, India"
Spice Nation,"Hinjawadi, Pune, India"
Cafe Coffee Hutt,"Wakad, Pune, India"
Rajwada,"Baner, Pune, India"
Jalebi Junction,"Baner, Pune, India"
AthaanS,"Wakad, Pune, India"
Vyankis Eating Co,"Baner, Pune, India"
Manna Dosa Magic,"Wakad, Pune, India"
The Majestic Bar & Resto,"Wakad, Pune, India"
New Era Bakery,"Baner, Pune, India"
Amul Restaurant,"Wakad, Pune, India"
Ghar Ka Khana,"Hinjawadi, Pune, India"
Cafe 4U,"Baner, Pune, India"
Naples Staples,"Hinjawadi, Pune, India"
Boulevard - The Orchid Hotel,"Balewadi, Pune, India"
Mr. Veg,"Aundh, Pune, India"
Juice Destination,"Aundh, Pune, India"
Burger 57,"Wakad, Pune, India"
The Cheezy Sandwich,"Baner, Pune, India"
UFO Burger Kitchen,"Wakad, Pune, India"
Berozgar Bawarchi,"Pashan, Pune, India"
What A Burger,"Baner, Pune, India"
Fit & Fat Bistro,"Aundh, Pune, India"
Bedis Naan House,"Baner, Pune, India"
Mahesh Andra Mess,"Hinjawadi, Pune, India"
Barbeque Celebration,"Hinjawadi, Pune, India"
Kebab Nation,"Baner, Pune, India"
Apricot Veg,"Wakad, Pune, India"
Cream Centre,"Baner, Pune, India"
Tabbu's,"Hinjawadi, Pune, India"
BottomsUp Resto,"Hinjawadi, Pune, India"
Virinda Pav Bhaji,"Hinjawadi, Pune, India"
Sadanand Resorts,"Baner, Pune, India"
Nutri Narcos,"Wakad, Pune, India"
Green Park Exotic,"Baner, Pune, India"
Nandu's Paratha,"Baner, Pune, India"
VS Pooriwala,"Baner, Pune, India"
Delish,"Wakad, Pune, India"
Cafe Delights,"Wakad, Pune, India"
Engineer's Cafe,"Balewadi, Pune, India"
Mogambo Pav Bhaji And Juice,"Hinjawadi, Pune, India"
Delhi Swad,"Wakad, Pune, India"
Tandoor Point,"Wakad, Pune, India"
Shree Ashapuri Dining Hall,"Baner, Pune, India"
Oye BC,"Balewadi, Pune, India"
Gypsy Tongue,"Wakad, Pune, India"
Sai Leela,"Pashan, Pune, India"
H2O Sports Bar & Rooftop,"Hinjawadi, Pune, India"
Mauli Tea & Snacks,"Wakad, Pune, India"
Cafe Of Thrones,"Wakad, Pune, India"
Saar By Swati Joshi,"Balewadi, Pune, India"
Friends Corner,"Wakad, Pune, India"
E Cube Cafe & Games,"Wakad, Pune, India"
Eatomania,"Pashan, Pune, India"
Shiv Shankar Chinese,"Hinjawadi, Pune, India"
Aesthetic's Nutrition,"Wakad, Pune, India"
Urthenfire,"Wakad, Pune, India"
Tasty Kona,"Baner, Pune, India"
Hotel Rajmudra,"Aundh, Pune, India"
Engineer's,"Hinjawadi, Pune, India"
Green Spoon Vegetarian Kitchen,"Baner, Pune, India"
Intreat,"Balewadi, Pune, India"
Krish Restaurant,"Wakad, Pune, India"
Rajmudra Biryani House,"Hinjawadi, Pune, India"
Hotel Jagdamb,"Wakad, Pune, India"
24/7 Gallery Caf̩ - Hyatt Place,"Hinjawadi, Pune, India"
Cakes N Crumbles,"Wakad, Pune, India"
Patlacha Wada,"Baner, Pune, India"
Desi Adda,"Wakad, Pune, India"
Siilver Spoon Family Resto & Bar,"Wakad, Pune, India"
Aroma The Green's,"Hinjawadi, Pune, India"
Delhi Bar Be Q,"Balewadi, Pune, India"
Chicken Xperience Venky's,"Wakad, Pune, India"
Lazzetti,"Baner, Pune, India"
Mannat Biryani House,"Wakad, Pune, India"
Meal O Meal,"Baner, Pune, India"
Ganesh Bhel,"Wakad, Pune, India"
Aab-o-Daana,"Wakad, Pune, India"
S7 Biryani House,"Hinjawadi, Pune, India"
Shakes & Sundaes,"Balewadi, Pune, India"
Reddys Biryani,"Hinjawadi, Pune, India"
Masala Darbar,"Wakad, Pune, India"
Rachana Restaurant,"Wakad, Pune, India"
Jay Malhar,"Balewadi, Pune, India"
Sai Kaveri,"Aundh, Pune, India"
Hotel Kaveri,"Balewadi, Pune, India"
Sarovar Family Resto & Bar,"Balewadi, Pune, India"
Hotel Rangoli Family Dhaba,"Wakad, Pune, India"
MoMo 2Go - Courtyard By Marriott Pune Hinjewadi,"Hinjawadi, Pune, India"
Box Singh,"Wakad, Pune, India"
Soy Affair,"Aundh, Pune, India"
Indian Thali House,"Hinjawadi, Pune, India"
Indian Thali House,"Hinjawadi, Pune, India"
Indorilaal,"Baner, Pune, India"
Sangrila Chinese And Fast Food,"Baner, Pune, India"
D9 Litti Chokha,"Wakad, Pune, India"
The Chinese Corner,"Baner, Pune, India"
Thekka Restro & Lounge,"Hinjawadi, Pune, India"
Roll King,"Wakad, Pune, India"
Meehira,"Wakad, Pune, India"
The Chinese Art,"Hinjawadi, Pune, India"
Hotel Red Chilly,"Wakad, Pune, India"
Brother's Kitchen,"Balewadi, Pune, India"
Kung Fu Kitchen,"Baner, Pune, India"
Biryani King,"Wakad, Pune, India"
Cake Choice,"Hinjawadi, Pune, India"
Scallions,"Baner, Pune, India"
Shandaar Shawarma,"Balewadi, Pune, India"
Whistle Podu,"Wakad, Pune, India"
Mottu Seth,"Baner, Pune, India"
Maratha Darbar,"Pashan, Pune, India"
Meat Me Here!,"Wakad, Pune, India"
Pet Pooja,"Baner, Pune, India"
Litticious- The Litti Chokha Shop,"Wakad, Pune, India"
Bakelove,"Aundh, Pune, India"
Rudra's Food,"Aundh, Pune, India"
FreshMenu,"Hinjawadi, Pune, India"
Mr. Sponzo,"Wakad, Pune, India"
Grillicious,"Baner, Pune, India"
Oyeee Desi !,"Wakad, Pune, India"
Puneri Anda Bhurji Center,"Aundh, Pune, India"
Cherry Veg & Non Veg,"Wakad, Pune, India"
Torna Mutton Khanawal,"Wakad, Pune, India"
Neopolitan Pizza,"Baner, Pune, India"
Sawaee,"Baner, Pune, India"
Shivalay A1 Dum Biryani,"Pashan, Pune, India"
Diwine Memories,"Wakad, Pune, India"
Freshia Cold Press Juice Bar,"Aundh, Pune, India"
Panchali Snacks & Meals,"Pashan, Pune, India"
Vidarbha Tadka Restaurant,"Baner, Pune, India"
Eatzip,"Wakad, Pune, India"
Rudra Pav Bhaji & Juice Bar,"Aundh, Pune, India"
Sufiz Bake House,"Pashan, Pune, India"
